ANO;DÍVIDA/PIB ( %) ;;Year;Debt (% GDP);;;;;;;;;;;;;;;;;;;;;;Evolução das receitas e despesas — Lauro de Freitas (2015–2024);;;;Evolução das receitas e despesas — Teixeira de Freitas (2015–2024);;;;;;;;;;;;;;;;;;;;;;;;;
2015;104,00%; ;2015;104;;;;;;;Ano;Lauro de Freitas BA ;Teixeira de Freitas BA ;;;;;;;;;;;;;Ano ;Receitas ;Despesas ;;Ano ;Receitas ;Despesas;;Ano ;Lauro Receita;Lauro Despesa;Teixeira Receita;Teixeira Despesa;;Ano ;Despesa Pública ;IDEB;;Ano ;Despesa Pública ;IDEB;;Indicador de Atuação;Lauro de Freitas;Teixeira de Freitas;;Dimensão;Lauro de Freitas;Teixeira de Freitas;Observação Técnica
2016;105,00%;;2016;105;;;;;;;2015;R$ 465.421.047,85;R$ 315.215.704,62;;;;;;;;;;;;;2015;465421047,9;466320493,1;;2015;315215704,6;311136336,3;;2015;465421047,9;466320493,1;315215704,6;311136336,3;;2015;311.136.336;3,7;;2015;466.320.493;3,7;;Gasto Liquidado em Saúde (Proxy);R$ 242 milhões;R$ 185 milhões;;Autonomia Financeira;Elevada (Predomínio de ISS);Moderada (Dependência de Transferências);Risco de volatilidade em crises de serviços
2017;105,00%;;2017;105;;;;;;;2016;R$ 491.654.303,45;R$ 373.380.369,41;;;;;;;;;;;;;2016;491654303,5;423695338,2;;2016;373380369,4;353723775;;2016;491654303,5;423695338,2;373380369,4;353723775;;2017;345.935.364;4;;2017;474.285.941;3,5;;Gasto Per Capita em Saúde;~R$ 1.192,00;˜R$ 1.275,00;;Sensibilidade Econômica;Coeficiente ?1? estimado em > 120;Coeficiente ?1? calculado em 111,86;Alta correlação pró-cíclica com o PIB
2018;106,00%;;2018;106;;;;;;;2017;R$ 519.885.476,42;R$ 361.818.246,00;;;;;;;;;;;;;2017;519885476,4;474285941,5;;2017;361818246,3;345935364;;2017;519885476,4;474285941,5;361818246,3;345935364;;2019;383.119.775;3,7;;2019;577.921.137;3,8;;;;;;Posição na Curva de Laffer;Fase Ascendente (Normal);Fase Ascendente (Normal);Espaço para ganho de eficiência sem aumento de alíquotas
2019;108,00%;;2019;108;;;;;;;2018;R$ 557.726.635,78;R$ 387.162.133,96;;;;;;;;;;;;;2018;557726635,8;530142112,1;;2018;387162134;373174450;;2018;557726635,8;530142112,1;387162134;373174450;;2021;430.083.241;4,3;;2021;762.951.000;4,2;;;;;;Gasto em Saúde Per Capita;R$ 1.192,00;R$ 1.275,00;Pressão fiscal por demanda regional
2020;129,00%;;2020;129;;;;;;;2019;R$ 739.436.457,54;R$ 421.699.825,25;;;;;;;;;;;;;2019;739436475,5;577921137,7;;2019;421699825,3;383119775,8;;2019;739436475,5;577921137,7;421699825,3;383119775,8;;2023;607.475.595;3,7;;2023;937.404.473;3,6;;;;;;Resultado Educacional (IDEB);5,1;5,4;Eficiência social marginalmente superior no polo sul
2021;122,00%;;2021;122;;;;;;;2020;R$ 667.287.522,29;R$ 446.771.884,57;;;;;;;;;;;;;2020;667287522,3;658080474,8;;2020;446771884,6;429702755,7;;2020;667287522,3;658080474,8;446771884,6;429702755,7;;;;;;;;;;;;;;;;;
2022;121,00%;;2022;121;;;;;;;2021;R$ 781.174.028,48;R$ 512.562.667,97;;;;;;;;;;;;;2021;781174028,5;762951000;;2021;512562668;430083241,6;;2021;781174028,5;762951000;512562668;430083241,6;;;;;;;;;;;;;;;;;
2023;123,00%;;2023;123;;;;;;;2022;R$ 909.607.339,91;R$ 587.680.761,35;;;;;;;;;;;;;2022;909607339,9;881753933;;2022;587680761,4;563744034,1;;2022;909607339,9;881753933;587680761,4;563744034,1;;;;;;;;;;;;;;;;;
2024;124,00%;;2024;124;;;;;;;2023;R$ 1.005.185.594,81;R$ 658.578.912,77;;;;;;;;;;;;;2023;1005185595;93740473,32;;2023;658578912,8;607475595,6;;2023;1005185595;937404473,3;658578912,8;607475595,6;;;;;;;;;;;;;;;;;
2025;124,00%;;2025;124;;;;;;;2024;R$ 1.126.613.711,32;R$ 718.363.667,54;;;;;;;;;;;;;2024;1126613711;1103814872;;2024;718363667,5;641113173,5;;2024;1126613711;1103814872;718363667,5;641113173,5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
